model,variable,rolling_years,cluster_method,optimize,timestamp,optimize_objective,optimize_params,optimize_n_trials,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,cVeg,5,SpaceTimeDBSCAN,True,2026-07-21T00:43:59.872351,combined_spatial_nonlinearity,"{'spatial_eps': (100, 1500.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (2, 50)}",3000,300,1.0044,408,0.12385044566213625,2,cVeg_dts_cluster,14,87,41.4,36,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0,0.032087218220283376,1,2.2520251727823393,89,"(2.219937954562056, 2.2520251727823393)","(2.219937954562056, 2.2520251727823393)","(2.219937954562056, 2.2520251727823393)",2.2359815636721976,-2.2557077407836914,2.2359815636721976,2.2359815636721976,2.219937954562056,0.00625,2.219937954562056,0.015719462381005925,2.219937954562056,88,0.016043609110141688,2.2520251727823393,88.0,10.905698776245117,10.905698776245117,12.307558059692383,12.307558059692383,-1.4018592834472656,-1.4018592834472656,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,5,SpaceTimeDBSCAN,True,2026-07-21T00:43:59.872351,combined_spatial_nonlinearity,"{'spatial_eps': (100, 1500.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (2, 50)}",3000,300,1.0044,408,0.12385044566213625,2,cVeg_dts_cluster,14,87,41.4,36,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1,0.21001105369100515,7,2.743076912754077,105,"(2.6237504545367756, 2.743076912754077)","(2.533065859063072, 2.743076912754077)","(2.533065859063072, 2.743076912754077)",2.64586864849295,-2.4759674072265625,2.6536659110773257,2.6536659110773257,2.743076912754077,0.0020833333333333333,2.683581367617876,0.07447066165989075,2.533065859063072,98,0.07759732539124822,2.743076912754077,104.0,19.906455993652344,19.906455993652344,22.904987335205078,22.904987335205078,-2.9985313415527344,-2.9985313415527344,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,5,SpaceTimeDBSCAN,True,2026-07-21T00:43:59.872351,combined_spatial_nonlinearity,"{'spatial_eps': (100, 1500.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (2, 50)}",3000,300,1.0044,408,0.12385044566213625,2,cVeg_dts_cluster,14,87,41.4,36,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",2,0.06334107444291703,2,2.347292076591657,92,"(2.28395100214874, 2.3157084581288814)","(2.28395100214874, 2.347292076591657)","(2.28395100214874, 2.347292076591657)",2.3156505122897593,-1.9782781600952148,2.3157084581288814,2.3157084581288814,2.28395100214874,0.003125,2.28395100214874,0.015557912536048959,2.28395100214874,90,0.025858917819403464,2.3157084581288814,90.0,13.889124870300293,13.889124870300293,15.541537284851074,15.541537284851074,-1.6524124145507812,-1.6524124145507812,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,5,SpaceTimeDBSCAN,True,2026-07-21T00:43:59.872351,combined_spatial_nonlinearity,"{'spatial_eps': (100, 1500.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (2, 50)}",3000,300,1.0044,408,0.12385044566213625,2,cVeg_dts_cluster,14,87,41.4,36,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",3,0.0646113247107678,2,2.219937954562056,88,"(2.155326629851288, 2.1877003033619076)","(2.155326629851288, 2.219937954562056)","(2.155326629851288, 2.219937954562056)",2.1876549625917505,-1.192091941833496,2.1877003033619076,2.1877003033619076,2.1877003033619076,0.0020833333333333333,2.1877003033619076,0.0241826365955858,2.155326629851288,86,0.02637748234206779,2.1877003033619076,86.0,9.685958862304688,9.685958862304688,10.223711967468262,10.223711967468262,-0.5377531051635742,-0.5377531051635742,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,5,SpaceTimeDBSCAN,True,2026-07-21T00:43:59.872351,combined_spatial_nonlinearity,"{'spatial_eps': (100, 1500.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (2, 50)}",3000,300,1.0044,408,0.12385044566213625,2,cVeg_dts_cluster,14,87,41.4,36,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",4,0.032087218220283376,1,2.2520251727823393,89,"(2.219937954562056, 2.219937954562056)","(2.219937954562056, 2.2520251727823393)","(2.219937954562056, 2.2520251727823393)",2.2359815636721976,-3.1333389282226562,2.2359815636721976,2.2359815636721976,2.219937954562056,0.003125,2.219937954562056,0.013894173057770152,2.219937954562056,88,0.016043609110141688,2.2520251727823393,88.0,17.776681900024414,17.776681900024414,22.060901641845703,22.060901641845703,-4.284219741821289,-4.284219741821289,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,5,SpaceTimeDBSCAN,True,2026-07-21T00:43:59.872351,combined_spatial_nonlinearity,"{'spatial_eps': (100, 1500.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (2, 50)}",3000,300,1.0044,408,0.12385044566213625,2,cVeg_dts_cluster,14,87,41.4,36,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",5,0.06401304758668402,2,2.28395100214874,90,"(2.219937954562056, 2.2520251727823393)","(2.219937954562056, 2.28395100214874)","(2.219937954562056, 2.28395100214874)",2.251971376497712,-2.0630292892456055,2.2520251727823393,2.2520251727823393,2.219937954562056,0.0020833333333333333,2.2359815636721976,0.026544512438584703,2.219937954562056,88,0.026133244930087913,2.2520251727823393,88.0,10.403958320617676,10.403958320617676,12.68606185913086,12.68606185913086,-2.2821035385131836,-2.2821035385131836,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,5,SpaceTimeDBSCAN,True,2026-07-21T00:43:59.872351,combined_spatial_nonlinearity,"{'spatial_eps': (100, 1500.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (2, 50)}",3000,300,1.0044,408,0.12385044566213625,2,cVeg_dts_cluster,14,87,41.4,36,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",6,0.03223765120014832,1,2.219937954562056,88,"(2.1877003033619076, 2.219937954562056)","(2.1877003033619076, 2.219937954562056)","(2.1877003033619076, 2.219937954562056)",2.2038191289619817,-0.8557872772216797,2.2038191289619817,2.2038191289619817,2.219937954562056,0.0020833333333333333,2.219937954562056,0.015196974515434346,2.1877003033619076,87,0.01611882560007416,2.219937954562056,87.0,11.672699928283691,11.672699928283691,13.229811668395996,13.229811668395996,-1.5571117401123047,-1.5571117401123047,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,5,SpaceTimeDBSCAN,True,2026-07-21T00:43:59.872351,combined_spatial_nonlinearity,"{'spatial_eps': (100, 1500.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (2, 50)}",3000,300,1.0044,408,0.12385044566213625,2,cVeg_dts_cluster,14,87,41.4,36,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",7,0.03223765120014832,1,2.219937954562056,88,"(2.1877003033619076, 2.219937954562056)","(2.1877003033619076, 2.219937954562056)","(2.1877003033619076, 2.219937954562056)",2.2038191289619817,-1.4338560104370117,2.2038191289619817,2.2038191289619817,2.219937954562056,0.0020833333333333333,2.219937954562056,0.015196974515434346,2.1877003033619076,87,0.01611882560007416,2.219937954562056,87.0,7.5744500160217285,7.5744500160217285,8.727248191833496,8.727248191833496,-1.1527981758117676,-1.1527981758117676,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,5,SpaceTimeDBSCAN,True,2026-07-21T00:43:59.872351,combined_spatial_nonlinearity,"{'spatial_eps': (100, 1500.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (2, 50)}",3000,300,1.0044,408,0.12385044566213625,2,cVeg_dts_cluster,14,87,41.4,36,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",8,0.08358845451175512,3,3.8526217638711273,141,"(3.769033309359372, 3.8526217638711273)","(3.769033309359372, 3.8526217638711273)","(3.769033309359372, 3.8526217638711273)",3.8108275366152498,-0.24207687377929688,3.8108275366152498,3.8108275366152498,3.8526217638711273,0.0010416666666666667,3.797316777613304,0.028283468253931687,3.769033309359372,138,0.04179422725587756,3.7977065797742853,138.0,45.71442794799805,45.71442794799805,45.956504821777344,45.956504821777344,-0.24207687377929688,-0.24207687377929688,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,cVeg,5,SpaceTimeDBSCAN,True,2026-07-21T00:43:59.872351,combined_spatial_nonlinearity,"{'spatial_eps': (100, 1500.0), 'temporal_eps': (0.1, 1.5), 'min_samples': (2, 50)}",3000,300,1.0044,408,0.12385044566213625,2,cVeg_dts_cluster,14,87,41.4,36,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",9,0.03091757657460903,1,3.679237472435716,135,"(3.648319895861107, 3.679237472435716)","(3.648319895861107, 3.679237472435716)","(3.648319895861107, 3.679237472435716)",3.6637786841484115,-0.1800379753112793,3.6637786841484115,3.6637786841484115,3.679237472435716,0.0010416666666666667,3.648319895861107,0.0,3.648319895861107,134,0.015458788287304515,3.679237472435716,134.0,6.386083126068115,6.386083126068115,6.5661211013793945,6.5661211013793945,-0.1800379753112793,-0.1800379753112793,'GeneralStats' object has no attribute 'all_stats'
