model,variable,rolling_years,cluster_method,optimize,timestamp,optimize_objective,optimize_params,optimize_n_trials,best_trial,best_score,best_spatial_eps,best_temporal_eps,best_min_samples,cluster_variable,n_clusters_from_log,n_clustered_points,noise_percent,n_noise_points,n_clusters,cluster_ids,cluster_id,time_duration,time_duration_timesteps,time_end,time_end_timestep,time_iqr_50,time_iqr_68,time_iqr_90,time_mean,time_mean_shift_magnitude,time_median,time_median_activity_time,time_membership_peak,time_membership_peak_density,time_pooled_median_transition_time,time_pooled_std_transition_time,time_start,time_start_timestep,time_std,time_steepest_gradient,time_steepest_gradient_timestep,time_value_at_end,time_value_at_iqr_90_end,time_value_at_iqr_90_start,time_value_at_start,time_value_change,time_value_change_iqr_90,general_stats_error
GFDL-ESM4,fFire,10,SpaceTimeDBSCAN,True,2026-07-21T23:22:37.870632,combined_spatial_nonlinearity,"{'spatial_eps': (100.0, 600.0), 'temporal_eps': (0.2, 0.5), 'min_samples': (2, 50)}",3000,144,0.9081,266.2607192574947,0.23317903609271523,2,fFire_dts_cluster,19,103,47.6,49,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",0,0.12264221107102458,4,3.7396746660029976,134,"(3.6792374724354886, 3.7097153172700814)","(3.617032454931973, 3.7396746660029976)","(3.617032454931973, 3.7396746660029976)",3.686414977660135,0.07469508400498173,3.694476394852785,3.694476394852785,3.7097153172700814,0.0021337126600284497,3.7097153172700814,0.03866269887173023,3.617032454931973,130,0.04540085701198666,3.7097153172700814,132.0,0.14835426052255354,0.14835426052255354,0.09363621539250695,0.09363621539250695,0.05471804513004659,0.05471804513004659,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,fFire,10,SpaceTimeDBSCAN,True,2026-07-21T23:22:37.870632,combined_spatial_nonlinearity,"{'spatial_eps': (100.0, 600.0), 'temporal_eps': (0.2, 0.5), 'min_samples': (2, 50)}",3000,144,0.9081,266.2607192574947,0.23317903609271523,2,fFire_dts_cluster,19,103,47.6,49,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",1,0.032592605673812614,1,2.1228332699428734,82,"(2.0902406642690607, 2.1228332699428734)","(2.0902406642690607, 2.1228332699428734)","(2.0902406642690607, 2.1228332699428734)",2.106536967105967,0.01735274015837862,2.106536967105967,2.106536967105967,2.0902406642690607,0.0021337126600284497,2.0902406642690607,0.0,2.0902406642690607,81,0.016296302836906307,2.1228332699428734,81.0,0.7363666326825622,0.7363666326825622,0.7458174974724733,0.7458174974724733,-0.009450864789911084,-0.009450864789911084,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,fFire,10,SpaceTimeDBSCAN,True,2026-07-21T23:22:37.870632,combined_spatial_nonlinearity,"{'spatial_eps': (100.0, 600.0), 'temporal_eps': (0.2, 0.5), 'min_samples': (2, 50)}",3000,144,0.9081,266.2607192574947,0.23317903609271523,2,fFire_dts_cluster,19,103,47.6,49,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",2,0.6045903276134936,19,3.617032454931973,130,"(3.0124421273184794, 3.4247374287954813)","(3.0124421273184794, 3.617032454931973)","(3.0124421273184794, 3.617032454931973)",3.3213652542217034,0.006020133477044496,3.3279932173181805,3.3279932173181805,3.4247374287954813,0.0007112375533428165,3.3279932173181805,0.21414879050284566,3.0124421273184794,111,0.22453247905918766,3.617032454931973,129.0,0.004395985801308654,0.004395985801308654,0.0003636896609663573,0.0003636896609663573,0.004032296140342296,0.004032296140342296,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,fFire,10,SpaceTimeDBSCAN,True,2026-07-21T23:22:37.870632,combined_spatial_nonlinearity,"{'spatial_eps': (100.0, 600.0), 'temporal_eps': (0.2, 0.5), 'min_samples': (2, 50)}",3000,144,0.9081,266.2607192574947,0.23317903609271523,2,fFire_dts_cluster,19,103,47.6,49,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",3,0.28936869006378174,9,3.4570888520796075,125,"(3.1677201620158257, 3.4570888520796075)","(3.1677201620158257, 3.4570888520796075)","(3.1677201620158257, 3.4570888520796075)",3.3390553544837758,0.30466830548906987,3.392357049355894,3.392357049355894,3.392357049355894,0.0007112375533428165,3.392357049355894,0.12400097500823007,3.1677201620158257,116,0.12400097500823007,3.392357049355894,122.0,0.8768991716623017,0.8768991716623017,0.5143949688430512,0.5143949688430512,0.36250420281925044,0.36250420281925044,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,fFire,10,SpaceTimeDBSCAN,True,2026-07-21T23:22:37.870632,combined_spatial_nonlinearity,"{'spatial_eps': (100.0, 600.0), 'temporal_eps': (0.2, 0.5), 'min_samples': (2, 50)}",3000,144,0.9081,266.2607192574947,0.23317903609271523,2,fFire_dts_cluster,19,103,47.6,49,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",4,0.061395421409145,2,3.7097153172700814,133,"(3.6483198958609364, 3.7097153172700814)","(3.6483198958609364, 3.7097153172700814)","(3.6483198958609364, 3.7097153172700814)",3.679017606565509,0.08169961138410706,3.679017606565509,3.679017606565509,3.7097153172700814,0.001422475106685633,3.7097153172700814,0.028942079208141448,3.6483198958609364,131,0.0306977107045725,3.7097153172700814,132.0,0.21206002986873038,0.21206002986873038,0.1221081576654213,0.1221081576654213,0.08995187220330908,0.08995187220330908,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,fFire,10,SpaceTimeDBSCAN,True,2026-07-21T23:22:37.870632,combined_spatial_nonlinearity,"{'spatial_eps': (100.0, 600.0), 'temporal_eps': (0.2, 0.5), 'min_samples': (2, 50)}",3000,144,0.9081,266.2607192574947,0.23317903609271523,2,fFire_dts_cluster,19,103,47.6,49,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",5,0.031058146150598986,1,3.10496994502455,114,"(3.073911798873951, 3.10496994502455)","(3.073911798873951, 3.10496994502455)","(3.073911798873951, 3.10496994502455)",3.0894408719492503,0.007395949452606382,3.0894408719492503,3.0894408719492503,3.10496994502455,0.001422475106685633,3.10496994502455,0.014640950502780942,3.073911798873951,113,0.015529073075299493,3.10496994502455,113.0,0.11346064027258904,0.11346064027258904,0.10789038714632751,0.10789038714632751,0.005570253126261526,0.005570253126261526,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,fFire,10,SpaceTimeDBSCAN,True,2026-07-21T23:22:37.870632,combined_spatial_nonlinearity,"{'spatial_eps': (100.0, 600.0), 'temporal_eps': (0.2, 0.5), 'min_samples': (2, 50)}",3000,144,0.9081,266.2607192574947,0.23317903609271523,2,fFire_dts_cluster,19,103,47.6,49,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",6,0.02995934873291617,1,3.7396746660029976,134,"(3.7097153172700814, 3.7396746660029976)","(3.7097153172700814, 3.7396746660029976)","(3.7097153172700814, 3.7396746660029976)",3.7246949916365395,3.617445156011258e-06,3.7246949916365395,3.7246949916365395,3.7097153172700814,0.001422475106685633,3.7097153172700814,0.01412297243265175,3.7097153172700814,133,0.014979674366458084,3.7396746660029976,133.0,4.892699005947681e-06,4.892699005947681e-06,4.116875294555341e-06,4.116875294555341e-06,7.758237113923401e-07,7.758237113923401e-07,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,fFire,10,SpaceTimeDBSCAN,True,2026-07-21T23:22:37.870632,combined_spatial_nonlinearity,"{'spatial_eps': (100.0, 600.0), 'temporal_eps': (0.2, 0.5), 'min_samples': (2, 50)}",3000,144,0.9081,266.2607192574947,0.23317903609271523,2,fFire_dts_cluster,19,103,47.6,49,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",7,0.19123104378132894,6,3.6483198958609364,131,"(3.4570888520796075, 3.6483198958609364)","(3.4570888520796075, 3.6483198958609364)","(3.4570888520796075, 3.6483198958609364)",3.553001300223343,0.09214961572938263,3.5535951527294856,3.5535951527294856,3.5535951527294856,0.0007112375533428165,3.4893765543835684,0.08358282228209134,3.4570888520796075,125,0.07807087601243469,3.6483198958609364,130.0,0.4316964134658002,0.4316964134658002,0.33461346794691327,0.33461346794691327,0.09708294551888691,0.09708294551888691,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,fFire,10,SpaceTimeDBSCAN,True,2026-07-21T23:22:37.870632,combined_spatial_nonlinearity,"{'spatial_eps': (100.0, 600.0), 'temporal_eps': (0.2, 0.5), 'min_samples': (2, 50)}",3000,144,0.9081,266.2607192574947,0.23317903609271523,2,fFire_dts_cluster,19,103,47.6,49,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",8,0.031287440928963406,1,3.6483198958609364,131,"(3.617032454931973, 3.6483198958609364)","(3.617032454931973, 3.6483198958609364)","(3.617032454931973, 3.6483198958609364)",3.6326761753964547,0.1362454324975222,3.6326761753964547,3.6326761753964547,3.617032454931973,0.001422475106685633,3.617032454931973,0.014749041097895706,3.617032454931973,130,0.015643720464481703,3.6483198958609364,130.0,0.3845365441533032,0.3845365441533032,0.17117338137885102,0.17117338137885102,0.21336316277445216,0.21336316277445216,'GeneralStats' object has no attribute 'all_stats'
GFDL-ESM4,fFire,10,SpaceTimeDBSCAN,True,2026-07-21T23:22:37.870632,combined_spatial_nonlinearity,"{'spatial_eps': (100.0, 600.0), 'temporal_eps': (0.2, 0.5), 'min_samples': (2, 50)}",3000,144,0.9081,266.2607192574947,0.23317903609271523,2,fFire_dts_cluster,19,103,47.6,49,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",9,0.12113391549030439,5,0.584886588601421,29,"(0.46375267311111656, 0.584886588601421)","(0.46375267311111656, 0.584886588601421)","(0.46375267311111656, 0.584886588601421)",0.5243196308562688,0.1952499750317583,0.5243196308562688,0.5243196308562688,0.584886588601421,0.001422475106685633,0.584886588601421,0.04607438490495314,0.46375267311111656,24,0.060566957745152195,0.5598837930609193,27.0,0.2238432199794605,0.2238432199794605,0.06692018593067747,0.06692018593067747,0.15692303404878302,0.15692303404878302,'GeneralStats' object has no attribute 'all_stats'
